"TIME PERIODS"
per_idx,per_name
348,Dec1991
349,Jan1992
350,Feb1992
351,Mar1992
352,Apr1992
353,May1992
354,Jun1992
355,Jul1992
356,Aug1992
357,Sep1992
358,Oct1992
359,Nov1992
360,Dec1992
361,Jan1993
362,Feb1993
363,Mar1993
364,Apr1993
365,May1993
366,Jun1993
367,Jul1993
368,Aug1993
369,Sep1993
370,Oct1993
371,Nov1993
372,Dec1993
373,Jan1994
374,Feb1994
375,Mar1994
376,Apr1994
377,May1994
378,Jun1994
379,Jul1994
380,Aug1994
381,Sep1994
382,Oct1994
383,Nov1994
384,Dec1994
385,Jan1995
386,Feb1995
387,Mar1995
388,Apr1995
389,May1995
390,Jun1995
391,Jul1995
392,Aug1995
393,Sep1995
394,Oct1995
395,Nov1995
396,Dec1995
397,Jan1996
398,Feb1996
399,Mar1996
400,Apr1996
401,May1996
402,Jun1996
403,Jul1996
404,Aug1996
405,Sep1996
406,Oct1996
407,Nov1996
408,Dec1996
409,Jan1997
410,Feb1997
411,Mar1997
412,Apr1997
413,May1997
414,Jun1997
415,Jul1997
416,Aug1997
417,Sep1997
418,Oct1997
419,Nov1997
420,Dec1997
421,Jan1998
422,Feb1998
423,Mar1998
424,Apr1998
425,May1998
426,Jun1998
427,Jul1998
428,Aug1998
429,Sep1998
430,Oct1998
431,Nov1998
432,Dec1998
433,Jan1999
434,Feb1999
435,Mar1999
436,Apr1999
437,May1999
438,Jun1999
439,Jul1999
440,Aug1999
441,Sep1999
442,Oct1999
443,Nov1999
444,Dec1999
445,Jan2000
446,Feb2000
447,Mar2000
448,Apr2000
449,May2000
450,Jun2000
451,Jul2000
452,Aug2000
453,Sep2000
454,Oct2000
455,Nov2000
456,Dec2000
457,Jan2001
458,Feb2001
459,Mar2001
460,Apr2001
461,May2001
462,Jun2001
463,Jul2001
464,Aug2001
465,Sep2001
466,Oct2001
467,Nov2001
468,Dec2001
469,Jan2002
470,Feb2002
471,Mar2002
472,Apr2002
473,May2002
474,Jun2002
475,Jul2002
476,Aug2002
477,Sep2002
478,Oct2002
479,Nov2002
480,Dec2002
481,Jan2003
482,Feb2003
483,Mar2003
484,Apr2003
485,May2003
486,Jun2003
487,Jul2003
488,Aug2003
489,Sep2003
490,Oct2003
491,Nov2003
492,Dec2003
493,Jan2004
494,Feb2004
495,Mar2004
496,Apr2004
497,May2004
498,Jun2004
499,Jul2004
500,Aug2004
501,Sep2004
502,Oct2004
503,Nov2004
504,Dec2004
505,Jan2005
506,Feb2005
507,Mar2005
508,Apr2005
509,May2005
510,Jun2005
511,Jul2005
512,Aug2005
513,Sep2005
514,Oct2005
515,Nov2005
516,Dec2005
517,Jan2006
518,Feb2006
519,Mar2006
520,Apr2006
521,May2006
522,Jun2006
523,Jul2006
524,Aug2006
525,Sep2006
526,Oct2006
527,Nov2006
528,Dec2006
529,Jan2007
530,Feb2007
531,Mar2007
532,Apr2007
533,May2007
534,Jun2007
535,Jul2007
536,Aug2007
537,Sep2007
538,Oct2007
539,Nov2007
540,Dec2007
541,Jan2008
542,Feb2008
543,Mar2008
544,Apr2008
545,May2008
546,Jun2008
547,Jul2008
548,Aug2008
549,Sep2008
550,Oct2008
551,Nov2008
552,Dec2008
553,Jan2009
554,Feb2009
555,Mar2009
556,Apr2009
557,May2009
558,Jun2009
559,Jul2009
560,Aug2009
561,Sep2009
562,Oct2009
563,Nov2009
564,Dec2009
565,Jan2010
566,Feb2010
567,Mar2010
568,Apr2010
569,May2010
570,Jun2010
571,Jul2010
572,Aug2010
573,Sep2010
574,Oct2010
575,Nov2010
576,Dec2010
577,Jan2011
578,Feb2011
579,Mar2011
580,Apr2011
581,May2011
582,Jun2011
583,Jul2011
584,Aug2011
585,Sep2011
586,Oct2011
587,Nov2011
588,Dec2011
589,Jan2012
590,Feb2012
591,Mar2012
592,Apr2012
593,May2012
594,Jun2012
595,Jul2012
596,Aug2012
597,Sep2012
598,Oct2012
599,Nov2012
600,Dec2012
601,Jan2013
602,Feb2013
603,Mar2013
604,Apr2013
605,May2013
606,Jun2013
607,Jul2013
608,Aug2013
609,Sep2013
610,Oct2013
611,Nov2013
612,Dec2013
613,Jan2014
614,Feb2014
615,Mar2014
616,Apr2014
617,May2014
618,Jun2014
619,Jul2014
620,Aug2014
621,Sep2014
622,Oct2014
623,Nov2014
624,Dec2014
625,Jan2015
626,Feb2015
627,Mar2015
628,Apr2015
629,May2015
630,Jun2015
631,Jul2015
632,Aug2015
633,Sep2015
634,Oct2015
635,Nov2015
636,Dec2015
637,Jan2016
638,Feb2016
639,Mar2016
640,Apr2016
641,May2016
642,Jun2016
643,Jul2016
644,Aug2016
645,Sep2016
646,Oct2016
647,Nov2016
648,Dec2016
649,Jan2017
650,Feb2017
651,Mar2017
652,Apr2017
653,May2017
654,Jun2017
655,Jul2017
656,Aug2017
657,Sep2017
658,Oct2017
659,Nov2017
660,Dec2017
661,Jan2018
662,Feb2018
663,Mar2018
664,Apr2018
665,May2018
666,Jun2018
667,Jul2018
668,Aug2018
669,Sep2018
670,Oct2018
671,Nov2018
672,Dec2018
673,Jan2019
674,Feb2019
675,Mar2019
676,Apr2019
677,May2019
678,Jun2019
679,Jul2019
680,Aug2019
681,Sep2019
682,Oct2019
683,Nov2019
684,Dec2019
685,Jan2020
686,Feb2020
687,Mar2020
688,Apr2020
689,May2020
690,Jun2020
691,Jul2020
692,Aug2020
693,Sep2020
694,Oct2020
695,Nov2020
696,Dec2020
697,Jan2021
698,Feb2021
699,Mar2021
700,Apr2021
701,May2021
702,Jun2021
703,Jul2021
704,Aug2021
705,Sep2021
706,Oct2021
707,Nov2021
708,Dec2021
709,Jan2022
710,Feb2022
711,Mar2022
712,Apr2022
713,May2022
714,Jun2022
